folder_name,file_name,size_bytes,server_modified,path_display,id
2025_06_30,0001910000_0001398344_25_015650_2025_06_30.parquet,29650,2025-12-14T11:23:27,/Nizar/sec_forms/2025_06_30/0001910000_0001398344_25_015650_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7Zg
2025_06_30,0001909993_0001909993_25_000004_2025_06_30.parquet,16298,2025-12-14T11:23:30,/Nizar/sec_forms/2025_06_30/0001909993_0001909993_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7Zw
2025_06_30,0001909846_0001909846_25_000005_2025_06_30.parquet,110528,2025-12-14T11:23:32,/Nizar/sec_forms/2025_06_30/0001909846_0001909846_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7aA
2025_06_30,0001909800_0001951757_25_001073_2025_06_30.parquet,18950,2025-12-14T11:23:34,/Nizar/sec_forms/2025_06_30/0001909800_0001951757_25_001073_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7aQ
2025_06_30,0001909572_0001085146_25_003759_2025_06_30.parquet,19529,2025-12-14T11:23:36,/Nizar/sec_forms/2025_06_30/0001909572_0001085146_25_003759_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7ag
2025_06_30,0001909571_0001085146_25_004014_2025_06_30.parquet,18800,2025-12-14T11:23:38,/Nizar/sec_forms/2025_06_30/0001909571_0001085146_25_004014_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7aw
2025_06_30,0001909570_0001085146_25_004018_2025_06_30.parquet,17747,2025-12-14T11:23:40,/Nizar/sec_forms/2025_06_30/0001909570_0001085146_25_004018_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7bA
2025_06_30,0001909380_0001909380_25_000004_2025_06_30.parquet,17703,2025-12-14T11:23:42,/Nizar/sec_forms/2025_06_30/0001909380_0001909380_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7bQ
2025_06_30,0001909322_0001398344_25_013656_2025_06_30.parquet,20011,2025-12-14T11:23:44,/Nizar/sec_forms/2025_06_30/0001909322_0001398344_25_013656_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7bg
2025_06_30,0001909307_0001909307_25_000010_2025_06_30.parquet,16349,2025-12-14T11:23:45,/Nizar/sec_forms/2025_06_30/0001909307_0001909307_25_000010_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7bw
2025_06_30,0001909304_0001909304_25_000004_2025_06_30.parquet,22605,2025-12-14T11:23:47,/Nizar/sec_forms/2025_06_30/0001909304_0001909304_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7cA
2025_06_30,0001909273_0000919574_25_004844_2025_06_30.parquet,10805,2025-12-14T11:23:49,/Nizar/sec_forms/2025_06_30/0001909273_0000919574_25_004844_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7cQ
2025_06_30,0001909147_0001892688_25_000147_2025_06_30.parquet,15421,2025-12-14T11:23:51,/Nizar/sec_forms/2025_06_30/0001909147_0001892688_25_000147_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7cg
2025_06_30,0001909089_0001909089_25_000007_2025_06_30.parquet,15149,2025-12-14T11:23:53,/Nizar/sec_forms/2025_06_30/0001909089_0001909089_25_000007_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7cw
2025_06_30,0001908965_0001908965_25_000004_2025_06_30.parquet,25005,2025-12-14T11:23:56,/Nizar/sec_forms/2025_06_30/0001908965_0001908965_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7dA
2025_06_30,0001908944_0001951757_25_000982_2025_06_30.parquet,18646,2025-12-14T11:23:58,/Nizar/sec_forms/2025_06_30/0001908944_0001951757_25_000982_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7dQ
2025_06_30,0001908923_0001908923_25_000004_2025_06_30.parquet,37129,2025-12-14T11:23:59,/Nizar/sec_forms/2025_06_30/0001908923_0001908923_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7dg
2025_06_30,0001908828_0001172661_25_002946_2025_06_30.parquet,17235,2025-12-14T11:24:01,/Nizar/sec_forms/2025_06_30/0001908828_0001172661_25_002946_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7dw
2025_06_30,0001908617_0001908617_25_000006_2025_06_30.parquet,17611,2025-12-14T11:24:03,/Nizar/sec_forms/2025_06_30/0001908617_0001908617_25_000006_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7eA
2025_06_30,0001908612_0001908612_25_000006_2025_06_30.parquet,20361,2025-12-14T11:24:06,/Nizar/sec_forms/2025_06_30/0001908612_0001908612_25_000006_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7eQ
2025_06_30,0001908378_0001908378_25_000003_2025_06_30.parquet,20046,2025-12-14T11:24:08,/Nizar/sec_forms/2025_06_30/0001908378_0001908378_25_000003_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7eg
2025_06_30,0001908316_0001420506_25_002093_2025_06_30.parquet,15053,2025-12-14T11:24:10,/Nizar/sec_forms/2025_06_30/0001908316_0001420506_25_002093_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7ew
2025_06_30,0001908288_0001765380_25_000344_2025_06_30.parquet,20067,2025-12-14T11:24:12,/Nizar/sec_forms/2025_06_30/0001908288_0001765380_25_000344_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7fA
2025_06_30,0001908219_0001908219_25_000006_2025_06_30.parquet,20959,2025-12-14T11:24:14,/Nizar/sec_forms/2025_06_30/0001908219_0001908219_25_000006_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7fQ
2025_06_30,0001908169_0001172661_25_002790_2025_06_30.parquet,17109,2025-12-14T11:24:16,/Nizar/sec_forms/2025_06_30/0001908169_0001172661_25_002790_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7fg
2025_06_30,0001907826_0001085146_25_003628_2025_06_30.parquet,18020,2025-12-14T11:24:18,/Nizar/sec_forms/2025_06_30/0001907826_0001085146_25_003628_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7fw
2025_06_30,0001907807_0001595888_25_000111_2025_06_30.parquet,10805,2025-12-14T11:24:20,/Nizar/sec_forms/2025_06_30/0001907807_0001595888_25_000111_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7gA
2025_06_30,0001907802_0001907802_25_000005_2025_06_30.parquet,16460,2025-12-14T11:24:22,/Nizar/sec_forms/2025_06_30/0001907802_0001907802_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7gg
2025_06_30,0001907666_0001085146_25_004082_2025_06_30.parquet,27057,2025-12-14T11:24:25,/Nizar/sec_forms/2025_06_30/0001907666_0001085146_25_004082_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7gw
2025_06_30,0001907528_0001951757_25_001059_2025_06_30.parquet,18426,2025-12-14T11:24:28,/Nizar/sec_forms/2025_06_30/0001907528_0001951757_25_001059_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7hA
2025_06_30,0001907327_0001907327_25_000005_2025_06_30.parquet,18336,2025-12-14T11:24:30,/Nizar/sec_forms/2025_06_30/0001907327_0001907327_25_000005_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7hQ
2025_06_30,0001907157_0001907157_25_000017_2025_06_30.parquet,25334,2025-12-14T11:24:33,/Nizar/sec_forms/2025_06_30/0001907157_0001907157_25_000017_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7hg
2025_06_30,0001906967_0001907157_25_000029_2025_06_30.parquet,21337,2025-12-14T11:24:36,/Nizar/sec_forms/2025_06_30/0001906967_0001907157_25_000029_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7hw
2025_06_30,0001906798_0001754960_25_000493_2025_06_30.parquet,17166,2025-12-14T11:24:37,/Nizar/sec_forms/2025_06_30/0001906798_0001754960_25_000493_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7iA
2025_06_30,0001906602_0002073679_25_000001_2025_06_30.parquet,15550,2025-12-14T11:24:39,/Nizar/sec_forms/2025_06_30/0001906602_0002073679_25_000001_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7iQ
2025_06_30,0001906594_0001906594_25_000003_2025_06_30.parquet,35198,2025-12-14T11:24:42,/Nizar/sec_forms/2025_06_30/0001906594_0001906594_25_000003_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7ig
